Bands	Reflectance
350.0	0.0199
351.0	0.0208
352.0	0.0217
353.0	0.0227
354.0	0.0233
355.0	0.0239
356.0	0.0247
357.0	0.0255
358.0	0.0263
359.0	0.0271
360.0	0.0281
361.0	0.0289
362.0	0.0299
363.0	0.031
364.0	0.0319
365.0	0.0329
366.0	0.0337
367.0	0.0341
368.0	0.0349
369.0	0.0356
370.0	0.036
371.0	0.0362
372.0	0.0364
373.0	0.0366
374.0	0.0367
375.0	0.0367
376.0	0.0371
377.0	0.0371
378.0	0.0366
379.0	0.0363
380.0	0.0361
381.0	0.0363
382.0	0.0366
383.0	0.0366
384.0	0.0368
385.0	0.0372
386.0	0.0377
387.0	0.0377
388.0	0.0382
389.0	0.0391
390.0	0.0399
391.0	0.0411
392.0	0.0424
393.0	0.044
394.0	0.0458
395.0	0.048
396.0	0.0506
397.0	0.0536
398.0	0.0572
399.0	0.0611
400.0	0.0651
401.0	0.0694
402.0	0.0741
403.0	0.0785
404.0	0.0823
405.0	0.086
406.0	0.0896
407.0	0.093
408.0	0.0961
409.0	0.0997
410.0	0.1031
411.0	0.1066
412.0	0.1105
413.0	0.1141
414.0	0.1179
415.0	0.1218
416.0	0.1252
417.0	0.1288
418.0	0.1327
419.0	0.1363
420.0	0.1392
421.0	0.1423
422.0	0.1457
423.0	0.1489
424.0	0.1514
425.0	0.1533
426.0	0.1547
427.0	0.1562
428.0	0.1577
429.0	0.1596
430.0	0.162
431.0	0.1648
432.0	0.1684
433.0	0.1729
434.0	0.1781
435.0	0.1837
436.0	0.1891
437.0	0.1944
438.0	0.2
439.0	0.2048
440.0	0.2089
441.0	0.2131
442.0	0.2171
443.0	0.2212
444.0	0.2254
445.0	0.2295
446.0	0.2333
447.0	0.2368
448.0	0.24
449.0	0.2427
450.0	0.2453
451.0	0.2476
452.0	0.2492
453.0	0.2506
454.0	0.2512
455.0	0.251
456.0	0.2506
457.0	0.2506
458.0	0.2511
459.0	0.2517
460.0	0.252
461.0	0.2522
462.0	0.2522
463.0	0.2518
464.0	0.2507
465.0	0.2496
466.0	0.2485
467.0	0.2471
468.0	0.2459
469.0	0.2453
470.0	0.2455
471.0	0.246
472.0	0.2466
473.0	0.2474
474.0	0.2486
475.0	0.2497
476.0	0.251
477.0	0.2525
478.0	0.254
479.0	0.2558
480.0	0.2578
481.0	0.2595
482.0	0.2604
483.0	0.2598
484.0	0.2575
485.0	0.2542
486.0	0.2517
487.0	0.2502
488.0	0.2505
489.0	0.2533
490.0	0.2576
491.0	0.2624
492.0	0.267
493.0	0.2711
494.0	0.2747
495.0	0.2782
496.0	0.2819
497.0	0.2853
498.0	0.288
499.0	0.29
500.0	0.2915
501.0	0.2933
502.0	0.2959
503.0	0.2999
504.0	0.3056
505.0	0.3125
506.0	0.3198
507.0	0.3273
508.0	0.3344
509.0	0.3416
510.0	0.349
511.0	0.3564
512.0	0.3637
513.0	0.371
514.0	0.3779
515.0	0.3821
516.0	0.3855
517.0	0.3902
518.0	0.398
519.0	0.411
520.0	0.4292
521.0	0.451
522.0	0.4728
523.0	0.4933
524.0	0.511
525.0	0.5251
526.0	0.537
527.0	0.5496
528.0	0.5659
529.0	0.5884
530.0	0.6137
531.0	0.6362
532.0	0.6519
533.0	0.6654
534.0	0.6804
535.0	0.6981
536.0	0.7175
537.0	0.7343
538.0	0.747
539.0	0.7558
540.0	0.7632
541.0	0.7719
542.0	0.7834
543.0	0.7981
544.0	0.813
545.0	0.8258
546.0	0.8351
547.0	0.8406
548.0	0.845
549.0	0.8498
550.0	0.8552
551.0	0.8601
552.0	0.8631
553.0	0.8649
554.0	0.8672
555.0	0.8676
556.0	0.864
557.0	0.8555
558.0	0.8426
559.0	0.8312
560.0	0.8235
561.0	0.8194
562.0	0.8149
563.0	0.8077
564.0	0.7969
565.0	0.7831
566.0	0.7696
567.0	0.7575
568.0	0.7465
569.0	0.7334
570.0	0.7178
571.0	0.7029
572.0	0.6933
573.0	0.6885
574.0	0.6816
575.0	0.6698
576.0	0.6571
577.0	0.646
578.0	0.6366
579.0	0.6291
580.0	0.6257
581.0	0.6259
582.0	0.628
583.0	0.6292
584.0	0.6275
585.0	0.6223
586.0	0.6148
587.0	0.6098
588.0	0.5985
589.0	0.5828
590.0	0.5707
591.0	0.5731
592.0	0.5791
593.0	0.5811
594.0	0.5784
595.0	0.5755
596.0	0.5738
597.0	0.5727
598.0	0.569
599.0	0.565
600.0	0.5606
601.0	0.555
602.0	0.5506
603.0	0.5493
604.0	0.5502
605.0	0.5482
606.0	0.5436
607.0	0.5376
608.0	0.531
609.0	0.5231
610.0	0.5159
611.0	0.5099
612.0	0.5044
613.0	0.4971
614.0	0.49
615.0	0.4843
616.0	0.4766
617.0	0.4713
618.0	0.4702
619.0	0.4726
620.0	0.4722
621.0	0.4694
622.0	0.465
623.0	0.4588
624.0	0.4527
625.0	0.4482
626.0	0.4458
627.0	0.4437
628.0	0.44
629.0	0.436
630.0	0.4349
631.0	0.4344
632.0	0.4349
633.0	0.4364
634.0	0.4371
635.0	0.4366
636.0	0.4355
637.0	0.4345
638.0	0.4339
639.0	0.4304
640.0	0.4237
641.0	0.417
642.0	0.4133
643.0	0.411
644.0	0.408
645.0	0.4034
646.0	0.3983
647.0	0.3939
648.0	0.3904
649.0	0.3855
650.0	0.3827
651.0	0.3835
652.0	0.3851
653.0	0.3854
654.0	0.3818
655.0	0.3718
656.0	0.352
657.0	0.346
658.0	0.3565
659.0	0.3687
660.0	0.3737
661.0	0.3747
662.0	0.3748
663.0	0.3727
664.0	0.3705
665.0	0.3692
666.0	0.3686
667.0	0.3669
668.0	0.3661
669.0	0.3661
670.0	0.3652
671.0	0.3635
672.0	0.3625
673.0	0.363
674.0	0.3641
675.0	0.3651
676.0	0.366
677.0	0.3673
678.0	0.3687
679.0	0.3701
680.0	0.3717
681.0	0.3738
682.0	0.3765
683.0	0.3789
684.0	0.3803
685.0	0.3826
686.0	0.3682
687.0	0.3443
688.0	0.3327
689.0	0.3475
690.0	0.374
691.0	0.4029
692.0	0.4368
693.0	0.4705
694.0	0.5033
695.0	0.5371
696.0	0.5773
697.0	0.6195
698.0	0.6615
699.0	0.7025
700.0	0.7442
701.0	0.7871
702.0	0.8329
703.0	0.8857
704.0	0.942
705.0	0.997
706.0	1.0476
707.0	1.0981
708.0	1.1466
709.0	1.1947
710.0	1.2448
711.0	1.2926
712.0	1.3387
713.0	1.3843
714.0	1.4305
715.0	1.4708
716.0	1.4927
717.0	1.4883
718.0	1.4672
719.0	1.4659
720.0	1.5095
721.0	1.605
722.0	1.6962
723.0	1.7473
724.0	1.7614
725.0	1.7929
726.0	1.8384
727.0	1.8847
728.0	1.9211
729.0	1.9589
730.0	2.0072
731.0	2.0667
732.0	2.132
733.0	2.2016
734.0	2.26
735.0	2.2995
736.0	2.3245
737.0	2.3485
738.0	2.3691
739.0	2.383
740.0	2.3995
741.0	2.4173
742.0	2.4402
743.0	2.4717
744.0	2.4968
745.0	2.5158
746.0	2.5308
747.0	2.5435
748.0	2.549
749.0	2.5473
750.0	2.5418
751.0	2.5411
752.0	2.5447
753.0	2.5508
754.0	2.5561
755.0	2.5544
756.0	2.551
757.0	2.5109
758.0	2.3567
759.0	1.921
760.0	1.3849
761.0	0.9851
762.0	0.9458
763.0	1.0345
764.0	1.1922
765.0	1.4148
766.0	1.7053
767.0	1.9801
768.0	2.1885
769.0	2.3129
770.0	2.3758
771.0	2.4035
772.0	2.4144
773.0	2.416
774.0	2.4119
775.0	2.4061
776.0	2.4003
777.0	2.393
778.0	2.3825
779.0	2.3708
780.0	2.3612
781.0	2.3521
782.0	2.3413
783.0	2.3283
784.0	2.3144
785.0	2.3025
786.0	2.2902
787.0	2.2749
788.0	2.2553
789.0	2.2335
790.0	2.2106
791.0	2.187
792.0	2.1626
793.0	2.14
794.0	2.1236
795.0	2.1164
796.0	2.1135
797.0	2.1096
798.0	2.1006
799.0	2.0842
800.0	2.0655
801.0	2.0476
802.0	2.0318
803.0	2.0164
804.0	2.0025
805.0	1.9902
806.0	1.9786
807.0	1.9641
808.0	1.9446
809.0	1.9223
810.0	1.8999
811.0	1.8742
812.0	1.8397
813.0	1.794
814.0	1.7382
815.0	1.6832
816.0	1.6369
817.0	1.6053
818.0	1.5922
819.0	1.5915
820.0	1.5917
821.0	1.5844
822.0	1.5697
823.0	1.5592
824.0	1.56
825.0	1.5715
