Bands	Reflectance
350.0	0.0008
351.0	0.0008
352.0	0.0009
353.0	0.0008
354.0	0.0009
355.0	0.001
356.0	0.001
357.0	0.001
358.0	0.001
359.0	0.001
360.0	0.0012
361.0	0.0012
362.0	0.0011
363.0	0.0011
364.0	0.0012
365.0	0.0013
366.0	0.0013
367.0	0.0012
368.0	0.0011
369.0	0.0012
370.0	0.0013
371.0	0.0014
372.0	0.0015
373.0	0.0015
374.0	0.0014
375.0	0.0014
376.0	0.0014
377.0	0.0014
378.0	0.0014
379.0	0.0015
380.0	0.0015
381.0	0.0015
382.0	0.0016
383.0	0.0016
384.0	0.0016
385.0	0.0016
386.0	0.0017
387.0	0.0017
388.0	0.0018
389.0	0.0018
390.0	0.0017
391.0	0.0018
392.0	0.002
393.0	0.002
394.0	0.002
395.0	0.002
396.0	0.002
397.0	0.0022
398.0	0.0023
399.0	0.0023
400.0	0.0024
401.0	0.0026
402.0	0.0027
403.0	0.0028
404.0	0.003
405.0	0.0031
406.0	0.0032
407.0	0.0033
408.0	0.0035
409.0	0.0037
410.0	0.0039
411.0	0.0042
412.0	0.0045
413.0	0.0047
414.0	0.0048
415.0	0.0051
416.0	0.0053
417.0	0.0056
418.0	0.0059
419.0	0.0062
420.0	0.0065
421.0	0.0066
422.0	0.0068
423.0	0.0073
424.0	0.0077
425.0	0.0081
426.0	0.0083
427.0	0.0085
428.0	0.009
429.0	0.0095
430.0	0.0097
431.0	0.01
432.0	0.0103
433.0	0.0106
434.0	0.011
435.0	0.0112
436.0	0.0115
437.0	0.0118
438.0	0.0121
439.0	0.0124
440.0	0.0127
441.0	0.013
442.0	0.0133
443.0	0.0136
444.0	0.0139
445.0	0.0142
446.0	0.0144
447.0	0.0147
448.0	0.015
449.0	0.0153
450.0	0.0156
451.0	0.016
452.0	0.0162
453.0	0.0165
454.0	0.0167
455.0	0.0169
456.0	0.0173
457.0	0.0177
458.0	0.018
459.0	0.0182
460.0	0.0184
461.0	0.0186
462.0	0.0187
463.0	0.0189
464.0	0.0194
465.0	0.0197
466.0	0.0199
467.0	0.0199
468.0	0.0203
469.0	0.0207
470.0	0.021
471.0	0.0212
472.0	0.0214
473.0	0.0216
474.0	0.022
475.0	0.0223
476.0	0.0225
477.0	0.0228
478.0	0.0231
479.0	0.0235
480.0	0.0239
481.0	0.0243
482.0	0.0248
483.0	0.0253
484.0	0.0257
485.0	0.0261
486.0	0.0268
487.0	0.0275
488.0	0.0282
489.0	0.0289
490.0	0.0296
491.0	0.0305
492.0	0.0315
493.0	0.0325
494.0	0.0336
495.0	0.0348
496.0	0.0361
497.0	0.0377
498.0	0.0393
499.0	0.0409
500.0	0.0427
501.0	0.0447
502.0	0.047
503.0	0.0494
504.0	0.0519
505.0	0.0548
506.0	0.058
507.0	0.0614
508.0	0.0649
509.0	0.0686
510.0	0.0726
511.0	0.0774
512.0	0.0824
513.0	0.0876
514.0	0.0931
515.0	0.0989
516.0	0.1052
517.0	0.1119
518.0	0.1187
519.0	0.1258
520.0	0.1333
521.0	0.1411
522.0	0.149
523.0	0.1572
524.0	0.1656
525.0	0.1737
526.0	0.182
527.0	0.1905
528.0	0.1991
529.0	0.2076
530.0	0.2163
531.0	0.225
532.0	0.2338
533.0	0.2427
534.0	0.2515
535.0	0.2603
536.0	0.2687
537.0	0.2772
538.0	0.2854
539.0	0.2933
540.0	0.3008
541.0	0.308
542.0	0.3149
543.0	0.3213
544.0	0.3271
545.0	0.3322
546.0	0.3368
547.0	0.3411
548.0	0.3454
549.0	0.3497
550.0	0.3539
551.0	0.3583
552.0	0.3629
553.0	0.3675
554.0	0.3717
555.0	0.3751
556.0	0.3779
557.0	0.3804
558.0	0.3829
559.0	0.3845
560.0	0.385
561.0	0.3845
562.0	0.3836
563.0	0.3819
564.0	0.3793
565.0	0.3755
566.0	0.3715
567.0	0.3675
568.0	0.3634
569.0	0.3593
570.0	0.3551
571.0	0.3507
572.0	0.3463
573.0	0.3419
574.0	0.3374
575.0	0.333
576.0	0.3286
577.0	0.3247
578.0	0.3213
579.0	0.3185
580.0	0.3167
581.0	0.3152
582.0	0.3138
583.0	0.3128
584.0	0.3117
585.0	0.311
586.0	0.3108
587.0	0.3109
588.0	0.3108
589.0	0.3106
590.0	0.3107
591.0	0.3106
592.0	0.3106
593.0	0.3107
594.0	0.3111
595.0	0.3117
596.0	0.3125
597.0	0.3132
598.0	0.314
599.0	0.3146
600.0	0.3149
601.0	0.3149
602.0	0.3142
603.0	0.3129
604.0	0.3112
605.0	0.3093
606.0	0.3072
607.0	0.305
608.0	0.3025
609.0	0.2997
610.0	0.297
611.0	0.2942
612.0	0.2912
613.0	0.2884
614.0	0.2857
615.0	0.2828
616.0	0.2801
617.0	0.2777
618.0	0.2755
619.0	0.2736
620.0	0.2719
621.0	0.2706
622.0	0.2696
623.0	0.2688
624.0	0.2681
625.0	0.2678
626.0	0.2678
627.0	0.268
628.0	0.2684
629.0	0.2688
630.0	0.2692
631.0	0.2698
632.0	0.2704
633.0	0.2707
634.0	0.2709
635.0	0.2709
636.0	0.2706
637.0	0.2696
638.0	0.2684
639.0	0.2667
640.0	0.2646
641.0	0.2623
642.0	0.2598
643.0	0.2569
644.0	0.2536
645.0	0.2501
646.0	0.2467
647.0	0.2433
648.0	0.2397
649.0	0.2364
650.0	0.2334
651.0	0.2306
652.0	0.228
653.0	0.2256
654.0	0.2232
655.0	0.2205
656.0	0.2174
657.0	0.2139
658.0	0.2101
659.0	0.2058
660.0	0.2013
661.0	0.1968
662.0	0.1922
663.0	0.1878
664.0	0.1835
665.0	0.1795
666.0	0.1761
667.0	0.1731
668.0	0.1706
669.0	0.1688
670.0	0.1674
671.0	0.1665
672.0	0.1662
673.0	0.1664
674.0	0.167
675.0	0.1679
676.0	0.1693
677.0	0.1709
678.0	0.1732
679.0	0.176
680.0	0.1796
681.0	0.1839
682.0	0.1892
683.0	0.1955
684.0	0.2032
685.0	0.2129
686.0	0.2245
687.0	0.2384
688.0	0.2546
689.0	0.2738
690.0	0.2959
691.0	0.321
692.0	0.3497
693.0	0.3814
694.0	0.4163
695.0	0.4545
696.0	0.4955
697.0	0.5393
698.0	0.5854
699.0	0.6332
700.0	0.6823
701.0	0.7326
702.0	0.7834
703.0	0.8335
704.0	0.8835
705.0	0.9326
706.0	0.9806
707.0	1.0281
708.0	1.0743
709.0	1.1192
710.0	1.1632
711.0	1.2055
712.0	1.2467
713.0	1.287
714.0	1.3258
715.0	1.3636
716.0	1.4001
717.0	1.4351
718.0	1.4695
719.0	1.5025
720.0	1.5342
721.0	1.5649
722.0	1.5943
723.0	1.6222
724.0	1.6486
725.0	1.6747
726.0	1.6993
727.0	1.7226
728.0	1.7453
729.0	1.7663
730.0	1.7866
731.0	1.8058
732.0	1.8237
733.0	1.8412
734.0	1.8584
735.0	1.875
736.0	1.8902
737.0	1.9044
738.0	1.9177
739.0	1.9303
