Bands	Reflectance
350.0	0.0007
351.0	0.0006
352.0	0.0006
353.0	0.0007
354.0	0.0008
355.0	0.0009
356.0	0.001
357.0	0.001
358.0	0.001
359.0	0.001
360.0	0.0008
361.0	0.001
362.0	0.0011
363.0	0.0011
364.0	0.0013
365.0	0.0014
366.0	0.0014
367.0	0.0013
368.0	0.0011
369.0	0.0012
370.0	0.0014
371.0	0.0014
372.0	0.0015
373.0	0.0014
374.0	0.0013
375.0	0.0015
376.0	0.0014
377.0	0.0015
378.0	0.0016
379.0	0.0016
380.0	0.0015
381.0	0.0014
382.0	0.0013
383.0	0.0015
384.0	0.0016
385.0	0.0016
386.0	0.0015
387.0	0.0017
388.0	0.0017
389.0	0.0015
390.0	0.0018
391.0	0.0019
392.0	0.0019
393.0	0.0018
394.0	0.0018
395.0	0.0019
396.0	0.002
397.0	0.0022
398.0	0.0023
399.0	0.0023
400.0	0.0022
401.0	0.0024
402.0	0.0025
403.0	0.0027
404.0	0.0028
405.0	0.0027
406.0	0.0028
407.0	0.003
408.0	0.0029
409.0	0.0027
410.0	0.0029
411.0	0.0033
412.0	0.0035
413.0	0.0038
414.0	0.0039
415.0	0.0039
416.0	0.0038
417.0	0.004
418.0	0.0043
419.0	0.0045
420.0	0.0047
421.0	0.0048
422.0	0.0049
423.0	0.0051
424.0	0.0053
425.0	0.0055
426.0	0.0056
427.0	0.006
428.0	0.0063
429.0	0.0064
430.0	0.0066
431.0	0.0067
432.0	0.0069
433.0	0.0071
434.0	0.0072
435.0	0.0076
436.0	0.0078
437.0	0.008
438.0	0.0082
439.0	0.0083
440.0	0.0084
441.0	0.0087
442.0	0.0088
443.0	0.0089
444.0	0.009
445.0	0.0089
446.0	0.0091
447.0	0.0094
448.0	0.0095
449.0	0.0095
450.0	0.0096
451.0	0.0098
452.0	0.0101
453.0	0.01
454.0	0.0101
455.0	0.0103
456.0	0.0105
457.0	0.0105
458.0	0.0104
459.0	0.0106
460.0	0.0107
461.0	0.0106
462.0	0.0106
463.0	0.0111
464.0	0.011
465.0	0.011
466.0	0.0113
467.0	0.0114
468.0	0.0114
469.0	0.0116
470.0	0.012
471.0	0.0119
472.0	0.0119
473.0	0.012
474.0	0.0118
475.0	0.0123
476.0	0.0125
477.0	0.0125
478.0	0.0128
479.0	0.0131
480.0	0.0133
481.0	0.0132
482.0	0.0133
483.0	0.0135
484.0	0.0137
485.0	0.0139
486.0	0.0142
487.0	0.0145
488.0	0.0148
489.0	0.0149
490.0	0.0151
491.0	0.0153
492.0	0.0155
493.0	0.016
494.0	0.0163
495.0	0.0167
496.0	0.0173
497.0	0.0174
498.0	0.0177
499.0	0.0181
500.0	0.0184
501.0	0.0189
502.0	0.0194
503.0	0.02
504.0	0.0205
505.0	0.0212
506.0	0.0218
507.0	0.0225
508.0	0.0232
509.0	0.0238
510.0	0.0243
511.0	0.0252
512.0	0.0261
513.0	0.0269
514.0	0.0279
515.0	0.0288
516.0	0.03
517.0	0.0312
518.0	0.0323
519.0	0.0335
520.0	0.0349
521.0	0.0362
522.0	0.0375
523.0	0.039
524.0	0.0407
525.0	0.042
526.0	0.0432
527.0	0.0447
528.0	0.0464
529.0	0.0476
530.0	0.0491
531.0	0.0509
532.0	0.0526
533.0	0.0543
534.0	0.056
535.0	0.0577
536.0	0.0596
537.0	0.0612
538.0	0.0628
539.0	0.0644
540.0	0.0659
541.0	0.0675
542.0	0.0691
543.0	0.0703
544.0	0.0715
545.0	0.0726
546.0	0.0735
547.0	0.0743
548.0	0.0751
549.0	0.0759
550.0	0.0769
551.0	0.0777
552.0	0.0786
553.0	0.0795
554.0	0.0805
555.0	0.0811
556.0	0.0818
557.0	0.0827
558.0	0.0831
559.0	0.0835
560.0	0.0838
561.0	0.0839
562.0	0.0837
563.0	0.0833
564.0	0.0827
565.0	0.082
566.0	0.0812
567.0	0.0803
568.0	0.0796
569.0	0.0789
570.0	0.0782
571.0	0.0775
572.0	0.0768
573.0	0.0759
574.0	0.0751
575.0	0.0744
576.0	0.0733
577.0	0.0725
578.0	0.0719
579.0	0.0712
580.0	0.0708
581.0	0.0706
582.0	0.0706
583.0	0.0706
584.0	0.0706
585.0	0.0707
586.0	0.0709
587.0	0.0713
588.0	0.0714
589.0	0.0713
590.0	0.0714
591.0	0.0715
592.0	0.0716
593.0	0.0715
594.0	0.0717
595.0	0.0721
596.0	0.0724
597.0	0.0725
598.0	0.0727
599.0	0.0729
600.0	0.0731
601.0	0.0732
602.0	0.0732
603.0	0.0729
604.0	0.0726
605.0	0.0723
606.0	0.0719
607.0	0.0714
608.0	0.0711
609.0	0.0708
610.0	0.0707
611.0	0.0706
612.0	0.0701
613.0	0.0695
614.0	0.069
615.0	0.0688
616.0	0.0685
617.0	0.0684
618.0	0.0684
619.0	0.0682
620.0	0.068
621.0	0.068
622.0	0.0681
623.0	0.0682
624.0	0.0684
625.0	0.0685
626.0	0.0683
627.0	0.0685
628.0	0.0687
629.0	0.0688
630.0	0.0691
631.0	0.0693
632.0	0.0696
633.0	0.0698
634.0	0.0701
635.0	0.0701
636.0	0.0701
637.0	0.0704
638.0	0.0704
639.0	0.0702
640.0	0.0699
641.0	0.07
642.0	0.0698
643.0	0.0696
644.0	0.0696
645.0	0.0693
646.0	0.0689
647.0	0.0686
648.0	0.0683
649.0	0.0683
650.0	0.0681
651.0	0.0678
652.0	0.068
653.0	0.0679
654.0	0.0677
655.0	0.0676
656.0	0.0676
657.0	0.0675
658.0	0.0674
659.0	0.0673
660.0	0.0674
661.0	0.0674
662.0	0.0674
663.0	0.0677
664.0	0.0679
665.0	0.0681
666.0	0.0685
667.0	0.0689
668.0	0.0695
669.0	0.0704
670.0	0.071
671.0	0.0717
672.0	0.0725
673.0	0.0733
674.0	0.0743
675.0	0.0755
676.0	0.0766
677.0	0.0776
